order,mixture
1,MethylLinoleate[0.49]&Acetone[0.51]
2,Acetone[0.50]&n-Dodecane[0.50]
3,Acetone[0.35]&MethylLinoleate[0.65]
4,n-Hexane[0.48]&R236EA[0.52]
5,n-Undecane[0.37]&Acetone[0.63]
6,n-Hexane[0.49]&R40[0.51]
7,Cyclopentane[0.49]&1-Butene[0.51]
8,Cyclopentane[0.49]&SulfurDioxide[0.51]
9,MM[0.49]&Novec649[0.51]
10,MethylLinoleate[0.50]&n-Dodecane[0.50]
11,MethylPalmitate[0.49]&MethylLinolenate[0.51]
12,EthyleneOxide[0.49]&n-Nonane[0.51]
13,R365MFC[0.49]&Acetone[0.51]
14,n-Hexane[0.47]&R123[0.53]
15,CycloHexane[0.49]&R114[0.51]
16,R236EA[0.49]&R40[0.51]
17,Novec649[0.50]&R142b[0.50]
18,SulfurDioxide[0.50]&DimethylCarbonate[0.50]
19,SulfurDioxide[0.50]&R123[0.50]
20,R1233zd(E)[0.49]&SulfurDioxide[0.51]
