phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,n-Dodecane[0.49]&Acetone[0.51],mixture,n-Dodecane,Acetone,0.49,626.2256794434431,4155427.1375552635,-0.05,-1.0,-1.0,1.0
INIT,2,Toluene[0.48]&R114[0.52],mixture,Toluene,R114,0.48,501.8316,3915290.085251671,0.06183863487265686,5.702821631778441,1.4012118046195838,2.0
INIT,3,D4[0.48]&n-Pentane[0.52],mixture,D4,n-Pentane,0.48,525.764,1891540.1755854497,0.01908506106047004,0.8489645507403984,0.4479672584068363,3.0
INIT,4,R245ca[0.50]&R11[0.50],mixture,R245ca,R11,0.5,459.34000000000003,4787365.903032016,0.11487394956150337,20.279772213160054,1.8099433659997697,4.0
INIT,5,EthylBenzene[0.50]&1-Butene[0.50],mixture,EthylBenzene,1-Butene,0.5,518.205,3563555.8619450186,0.017401994226083777,2.601193713838943,1.7647167059306552,5.0
OPT,1,R245ca[0.49]&R114[0.51],mixture,R245ca,R114,0.49,432.9126,4073078.664810971,0.07534990122183294,26.474396893299385,5.760131469427286,6.0
OPT,2,R245ca[0.26]&R114[0.74],mixture,R245ca,R114,0.26,426.3024,3786170.44006405,0.10209341689829773,26.04219421635154,2.8234840069227607,7.0
OPT,3,R245ca[0.50]&R114[0.50],mixture,R245ca,R114,0.5,433.2,4081126.801009862,0.10684667278061664,26.470591394408242,2.350185356715418,8.0
OPT,4,R114[0.49]&R245ca[0.51],mixture,R114,R245ca,0.49,433.4874,4088786.575038974,0.07788511753304853,26.406308950479705,5.373824334431325,9.0
OPT,5,R245ca[0.48]&R114[0.52],mixture,R245ca,R114,0.48,432.62519999999995,4064644.5150336497,0.10138067303772443,21.557515948985234,2.4123688237053074,10.0
OPT,6,R114[0.29]&R11[0.71],mixture,R114,R11,0.29,455.94879999999995,4162065.344561949,0.11857536158228588,19.538955813554615,1.7932736543227215,11.0
OPT,7,R245ca[0.45]&R114[0.55],mixture,R245ca,R114,0.45,431.76300000000003,4037049.455602426,0.10470946579303847,26.6552255213096,2.552833452530694,12.0
OPT,8,R245ca[0.46]&R114[0.54],mixture,R245ca,R114,0.46,432.0504,4046627.564360746,0.10295700556978088,23.346082570673758,2.4588625976419567,13.0
OPT,9,R245ca[0.35]&R11[0.65],mixture,R245ca,R11,0.35000000000000003,462.871,4795568.8963294765,0.11726997485483516,19.692290052688964,1.7602836098045538,14.0
OPT,10,R245ca[0.38]&R11[0.62],mixture,R245ca,R11,0.38,462.1648,4802618.695082917,0.11713493340769969,19.98836348740569,1.767578183732853,15.0
OPT,11,R245ca[0.14]&Dichloroethane[0.86],mixture,R245ca,Dichloroethane,0.14,545.6358,5154143.676139754,0.12983541895215517,6.190150093342139,0.2515383752762211,16.4
OPT,12,R245ca[0.29]&R11[0.71],mixture,R245ca,R11,0.29,464.2834,4768687.24384877,0.11838818872593983,19.446127067254334,1.7298763511220734,17.4
OPT,13,R245ca[0.31]&R11[0.69],mixture,R245ca,R11,0.31,463.8126,4779528.509472647,0.11809591903101031,19.425684769191346,1.7271955422826226,18.4
OPT,14,R245ca[0.10]&Dichloroethane[0.90],mixture,R245ca,Dichloroethane,0.1,550.1970000000001,5178909.093414006,0.13050112904356645,5.3642779843237545,0.21359252573678428,19.4
