phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,m-Xylene,pure,m-Xylene,,1.0,616.890000360268,3534599.0782215013,0.1262867565538863,0.8995911316955123,0.021674686035125828,1.0
INIT,2,D6,pure,D6,,1.0,645.7582612427082,961415.9797965303,0.07521588885169293,0.019490303266762165,0.00030159771809383707,2.0
INIT,3,Benzene,pure,Benzene,,1.0,562.0196911219722,4906288.781088226,0.1281865031857781,4.120744099483555,0.20311737327747872,3.0
INIT,4,D5,pure,D5,,1.0,618.2999915047726,1077687.644266743,0.0887062088340385,0.08825592636538684,0.0007345192650606707,4.0
INIT,5,R21,pure,R21,,1.0,452.72016234362053,5288505.217724644,0.1201837133892827,25.453052359857466,2.5314932145518845,5.0
OPT,1,Toluene,pure,Toluene,,1.0,591.7490789362913,4126346.9485955853,0.06573138472035318,1.700529866663273,0.4273979834409451,6.0
OPT,2,MethylLinoleate,pure,MethylLinoleate,,1.0,799.0001945392406,1340820.8824579124,-0.05,-1.0,-1.0,7.0
OPT,3,R245ca,pure,R245ca,,1.0,447.5699955219675,3940740.1841818695,0.1121554431971237,19.353679019143176,1.4629457343979437,8.0
OPT,4,MDM,pure,MDM,,1.0,565.3609009312738,1437537.7755043951,0.019805925206791766,0.6134973416224473,0.39433869267423227,9.0
OPT,5,n-Nonane,pure,n-Nonane,,1.0,594.5478132119172,2281911.0314392075,0.09202827104229787,0.22373729586946156,0.010650969571498721,10.0
OPT,6,R113,pure,R113,,1.0,487.2100000166609,3392266.3311416013,0.1171261702613434,9.154044787546813,0.6677398811599305,11.0
OPT,7,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11175230118051568,14.258460134411191,1.2913123747420587,12.0
OPT,8,MD2M,pure,MD2M,,1.0,599.3992011721302,1144009.0031759262,-0.05,-1.0,-1.0,13.0
OPT,9,R1234ze(Z),pure,R1234ze(Z),,1.0,423.2703783954189,3530642.6307265745,0.10939933359110669,26.83545867603272,2.491063118168836,14.0
OPT,10,Water,pure,Water,,1.0,647.0959999999873,22063999.999997754,0.13668998338303975,2.9528295379763643,0.0670357931369423,15.0
OPT,11,HeavyWater,pure,HeavyWater,,1.0,643.8469999831403,21661830.99818297,0.12961194218580105,2.2493151136018272,0.05522913682324301,16.0
OPT,12,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.13366114708140664,8.579453028857953,0.2813984141730081,17.0
OPT,13,n-Butane,pure,n-Butane,,1.0,425.125000000008,3796000.0174158094,0.10676322058735081,28.088047750209913,3.3000979176466525,18.0
OPT,14,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.13426442711590975,6.574243446058686,0.14058047217374,19.0
OPT,15,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.13132880187655893,4.020624617553597,0.17035527548155763,20.0
