phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,Water,pure,Water,,1.0,647.0959999999873,22063999.999997754,0.13575054031930409,2.6593507224704562,0.06036309188216894,5.6
INIT,2,SulfurDioxide,pure,SulfurDioxide,,1.0,430.6400006320635,7886578.976938645,0.1156353970015863,49.73848632952551,5.463108258429385,6.6
INIT,3,HeavyWater,pure,HeavyWater,,1.0,643.8469999831403,21661830.99818297,0.13123213245440465,2.9889691498209965,0.07604942590814662,7.6
INIT,4,n-Butane,pure,n-Butane,,1.0,425.125000000008,3796000.0174158094,0.09992218845504555,22.62499612375621,3.3681580897481314,8.6
INIT,5,R245fa,pure,R245fa,,1.0,427.00998969559254,3650995.024128124,0.10819297961737123,25.817391203476376,2.1325358188817103,9.6
OPT,6,MethylLinoleate,pure,MethylLinoleate,,1.0,799.0001945392406,1340820.8824579124,-0.05,-1.0,-1.0,10.6
OPT,7,MethylPalmitate,pure,MethylPalmitate,,1.0,755.0001061380809,1349957.890312988,-0.05,-1.0,-1.0,11.6
OPT,8,MethylOleate,pure,MethylOleate,,1.0,782.0001332054759,1246000.7777377798,-0.05,-1.0,-1.0,12.6
OPT,9,MD4M,pure,MD4M,,1.0,653.199999427594,828558.7151384281,-0.05,-1.0,-1.0,13.6
OPT,10,MethylLinolenate,pure,MethylLinolenate,,1.0,772.0000022320153,1368997.256542253,-0.05,-1.0,-1.0,14.6
OPT,11,D6,pure,D6,,1.0,645.7582612427082,961415.9797965303,-0.05,-1.0,-1.0,15.6
OPT,12,n-Dodecane,pure,n-Dodecane,,1.0,658.1000268582027,1817569.5498990365,-0.05,-1.0,-1.0,16.6
OPT,13,o-Xylene,pure,o-Xylene,,1.0,630.259003064399,3737459.7566424324,0.11715953851330185,0.7807132897389095,0.02597888640146065,17.6
OPT,14,MD3M,pure,MD3M,,1.0,628.0000256535702,953950.681224102,0.008846221687222435,0.03608505588241649,0.02782880667929179,18.6
OPT,15,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.12842394776444918,5.864142115334988,0.1548876317226499,19.6
