phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,n-Octane[0.50]&MM[0.50],mixture,n-Octane,MM,0.5,543.72,2222480.3152123904,0.10972645180191927,1.821735737222985,0.051943183112509346,5.5
INIT,2,HeavyWater[0.45]&IsoButene[0.55],mixture,HeavyWater,IsoButene,0.45,519.68065,16305763.50133464,-0.05,-1.0,-1.0,6.5
INIT,3,HeavyWater[0.40]&n-Octane[0.60],mixture,HeavyWater,n-Octane,0.4,598.7828,9221587.294362914,0.07638554669627756,3.0553366570796223,0.4556044770174748,7.5
INIT,4,HeavyWater[0.50]&Benzene[0.50],mixture,HeavyWater,Benzene,0.5,602.9335,19783307.693551708,0.01935789762770593,14.969888217851752,12.311222523126656,8.5
INIT,5,Benzene[0.37]&n-Octane[0.63],mixture,Benzene,n-Octane,0.37,589.0115013588352,3866229.7830982856,0.11840443696456228,2.4387350408218076,0.07495585601093178,9.5
OPT,6,HeavyWater[0.18]&Toluene[0.82],mixture,HeavyWater,Toluene,0.18,601.1274599999999,4997410.489942038,0.12314292772376259,1.7576951223304749,0.06947854627058328,10.5
OPT,7,trans-2-Butene[0.28]&IsoButene[0.72],mixture,trans-2-Butene,IsoButene,0.28,421.0356,4047190.3959886874,0.098935428337659,25.89688535564179,4.0432191850572305,11.5
OPT,8,Benzene[0.49]&n-Octane[0.51],mixture,Benzene,n-Octane,0.49,590.3482231705754,4245426.352910549,0.12242361414844366,2.774345175072605,0.08778959157489213,12.5
OPT,9,n-Octane[0.30]&Benzene[0.70],mixture,n-Octane,Benzene,0.3,586.6061205184349,4800599.696443028,0.12284829359923537,2.6341117173114212,0.10820825817939228,13.5
OPT,10,HeavyWater[0.38]&n-Octane[0.62],mixture,HeavyWater,n-Octane,0.38,597.28066,8867785.794811469,0.06613612194597349,3.1137438520757454,0.6033416061977013,14.5
OPT,11,R21[0.50]&EthylBenzene[0.50],mixture,R21,EthylBenzene,0.5,534.3,4390764.509209684,0.03539083657389016,2.7112066065436458,1.2474334035878611,15.5
OPT,12,Toluene[0.50]&R245ca[0.50],mixture,Toluene,R245ca,0.5,519.66,4436724.487431066,0.08091004877793445,4.586143424117113,0.6491158082085832,16.5
OPT,13,trans-2-Butene[0.46]&MM[0.54],mixture,trans-2-Butene,MM,0.46,477.2586000000001,2483016.671851559,0.06449614586535496,6.447178213297618,1.1255144988224468,17.5
OPT,14,trans-2-Butene[0.44]&Benzene[0.56],mixture,trans-2-Butene,Benzene,0.44,503.31960000000004,4456654.650212721,0.08497593517356845,9.217698059906201,1.610306482477337,18.5
OPT,15,trans-2-Butene[0.47]&Benzene[0.53],mixture,trans-2-Butene,Benzene,0.47000000000000003,499.31730000000005,4429676.542387644,0.09568225384635601,9.257510214359602,1.2198643909600935,19.5
