order,mixture
1,n-Octane[0.50]&MM[0.50]
2,HeavyWater[0.45]&IsoButene[0.55]
3,HeavyWater[0.40]&n-Octane[0.60]
4,HeavyWater[0.50]&Benzene[0.50]
5,Benzene[0.37]&n-Octane[0.63]
6,HeavyWater[0.18]&Toluene[0.82]
7,trans-2-Butene[0.28]&IsoButene[0.72]
8,Benzene[0.49]&n-Octane[0.51]
9,n-Octane[0.30]&Benzene[0.70]
10,HeavyWater[0.38]&n-Octane[0.62]
11,R21[0.50]&EthylBenzene[0.50]
12,Toluene[0.50]&R245ca[0.50]
13,trans-2-Butene[0.46]&MM[0.54]
14,trans-2-Butene[0.44]&Benzene[0.56]
15,trans-2-Butene[0.47]&Benzene[0.53]
