phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,MethylOleate,pure,MethylOleate,,1.0,782.0001332054759,1246000.7777377798,-0.05,-1.0,-1.0,3.9
INIT,2,MD4M,pure,MD4M,,1.0,653.199999427594,828558.7151384281,-0.05,-1.0,-1.0,4.9
INIT,3,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.13368881131299792,6.351088182205438,0.13787994830528752,5.9
INIT,4,n-Undecane,pure,n-Undecane,,1.0,638.8000144673849,1990452.1527680526,0.03913260200828692,0.10781367297195855,0.03436591385107848,6.9
INIT,5,MethylLinoleate,pure,MethylLinoleate,,1.0,799.0001945392406,1340820.8824579124,-0.05,-1.0,-1.0,7.9
OPT,6,Acetone,pure,Acetone,,1.0,508.10000903114974,4692416.5561745,0.12815829721638364,8.394391398577138,0.468984166810158,8.9
OPT,7,HeavyWater,pure,HeavyWater,,1.0,643.8469999831403,21661830.99818297,0.1350812648156575,2.561689550650646,0.05269346227440519,10.2
OPT,8,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.09593725552999031,4.160964663020925,0.41230795525764413,11.2
OPT,9,R21,pure,R21,,1.0,452.72016234362053,5288505.217724644,0.10749872305788291,19.403187899370142,2.69866141587926,12.2
OPT,10,Dichloroethane,pure,Dichloroethane,,1.0,561.5800290671409,5226120.870131313,0.1294403453822123,4.016416873583677,0.18209293409554225,13.2
OPT,11,Water,pure,Water,,1.0,647.0959999999873,22063999.999997754,0.12763127433944604,2.1035599466485286,0.06056505272283237,14.2
OPT,12,EthyleneOxide,pure,EthyleneOxide,,1.0,468.9200076903809,7304686.9983511865,0.12348292110343913,27.253113982180565,2.6541569574091106,15.2
OPT,13,SulfurDioxide,pure,SulfurDioxide,,1.0,430.6400006320635,7886578.976938645,0.11158456078898447,46.83595566868121,5.790702141462173,16.2
OPT,14,Benzene,pure,Benzene,,1.0,562.0196911219722,4906288.781088226,0.1288164721142038,4.16572808636292,0.20143517143860437,17.2
OPT,15,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12632896422508155,3.382745286587175,0.12513010029038188,18.2
OPT,16,Toluene,pure,Toluene,,1.0,591.7490789362913,4126346.9485955853,0.12932538386689207,1.9208484204739542,0.06274871057151818,19.2
