phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,n-Octane[0.50]&MM[0.50],mixture,n-Octane,MM,0.5,543.72,2222480.3152123904,0.10972645180191927,1.821735737222985,0.051943183112509346,5.5
INIT,2,HeavyWater[0.45]&IsoButene[0.55],mixture,HeavyWater,IsoButene,0.45,519.68065,16305763.50133464,-0.05,-1.0,-1.0,6.5
INIT,3,HeavyWater[0.40]&n-Octane[0.60],mixture,HeavyWater,n-Octane,0.4,598.7828,9221587.294362914,0.07638554669627756,3.0553366570796223,0.4556044770174748,7.5
INIT,4,HeavyWater[0.50]&Benzene[0.50],mixture,HeavyWater,Benzene,0.5,602.9335,19783307.693551708,0.01935789762770593,14.969888217851752,12.311222523126656,8.5
INIT,5,Benzene[0.37]&n-Octane[0.63],mixture,Benzene,n-Octane,0.37,589.0115013588352,3866229.7830982856,0.11840443696456228,2.4387350408218076,0.07495585601093178,9.5
OPT,6,n-Undecane[0.47]&n-Dodecane[0.53],mixture,n-Undecane,n-Dodecane,0.47000000000000003,649.029,1968733.830866597,0.09651648143720917,0.11981390287223452,0.0022479214597620418,10.5
OPT,7,R141b[0.49]&Benzene[0.51],mixture,R141b,Benzene,0.49,520.6052,4700091.539490976,0.12080028511462156,7.399551457437981,0.49944419854096755,11.5
OPT,8,R123[0.50]&R245ca[0.50],mixture,R123,R245ca,0.5,452.20050000000003,4136517.4114219355,0.11321435923452823,19.256785451273284,1.5751954588189978,12.5
OPT,9,m-Xylene[0.50]&Acetone[0.50],mixture,m-Xylene,Acetone,0.5,562.495,4935525.906787114,0.08226311561964479,2.492211003579364,0.3387618374141876,13.5
OPT,10,n-Pentane[0.50]&R236EA[0.50],mixture,n-Pentane,R236EA,0.5,441.07,3846461.9227996,0.11179579412307938,23.108976045396126,1.6563792306717822,14.5
OPT,11,n-Butane[0.50]&R1234ze(Z)[0.50],mixture,n-Butane,R1234ze(Z),0.5,424.1975,4099825.195692948,0.10489722803731023,31.136596638127198,3.3175837345374015,15.5
OPT,12,Novec649[0.50]&R236EA[0.50],mixture,Novec649,R236EA,0.5,427.125,2698058.7800064567,0.0894095760921936,18.138420235169978,1.4015591676691013,16.5
OPT,13,MD4M[0.49]&MethylOleate[0.51],mixture,MD4M,MethylOleate,0.49,718.888,1126439.783059119,-0.05,-1.0,-1.0,17.5
OPT,14,MethylPalmitate[0.49]&m-Xylene[0.51],mixture,MethylPalmitate,m-Xylene,0.49,684.5639,1993666.0699210037,-0.05,-1.0,-1.0,18.5
OPT,15,D6[0.50]&MD4M[0.50],mixture,D6,MD4M,0.5,649.49,933160.6243283701,-0.05,-1.0,-1.0,19.5
OPT,16,n-Nonane[0.49]&MD4M[0.51],mixture,n-Nonane,MD4M,0.49,624.4615,1164363.7492936577,-0.05,-1.0,-1.0,20.5
