order,mixture
1,Benzene[0.36]&R21[0.64]
2,EthylBenzene[0.45]&m-Xylene[0.55]
3,CycloHexane[0.49]&n-Decane[0.51]
4,n-Dodecane[0.49]&Methanol[0.51]
5,Acetone[0.49]&EthyleneOxide[0.51]
6,Dichloroethane[0.49]&HeavyWater[0.51]
7,SulfurDioxide[0.49]&Isopentane[0.51]
8,EthyleneOxide[0.50]&n-Octane[0.50]
9,R365MFC[0.48]&EthylBenzene[0.52]
10,R141b[0.50]&Water[0.50]
11,R236EA[0.50]&Water[0.50]
12,Water[0.49]&R142b[0.51]
13,MethylLinoleate[0.49]&p-Xylene[0.51]
14,R245fa[0.50]&cis-2-Butene[0.50]
15,n-Nonane[0.48]&Water[0.52]
16,MethylPalmitate[0.50]&n-Butane[0.50]
17,SulfurDioxide[0.49]&R114[0.51]
18,R1234ze(Z)[0.50]&R142b[0.50]
19,Toluene[0.50]&MD4M[0.50]
20,R113[0.47]&Methanol[0.53]
21,MD4M[0.50]&MethylLinoleate[0.50]
22,MethylLinoleate[0.50]&HeavyWater[0.50]
