phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,Benzene[0.50]&IsoButene[0.50],mixture,Benzene,IsoButene,0.5,503.57221059375,5536579.870572952,0.08889422638036422,11.17430920467081,1.753803898643803
INIT,2,Benzene[0.40]&HeavyWater[0.60],mixture,Benzene,HeavyWater,0.4,611.1161999999999,22095819.04521558,-0.05,-1.0,-1.0
INIT,3,HeavyWater[0.30]&Benzene[0.70],mixture,HeavyWater,Benzene,0.3,586.5681,14279807.639190407,-0.05,-1.0,-1.0
INIT,4,trans-2-Butene[0.45]&HeavyWater[0.55],mixture,trans-2-Butene,HeavyWater,0.45,546.99035,18886275.039744616,-0.05,-1.0,-1.0
INIT,5,Benzene[0.50]&EthylBenzene[0.50],mixture,Benzene,EthylBenzene,0.5,598.8543583359375,4483807.172326108,0.12767840199179248,2.246514387372238,0.06649198789935866
OPT,6,Dichloroethane[0.48]&m-Xylene[0.52],mixture,Dichloroethane,m-Xylene,0.48,590.3507999999999,4392584.1258694185,0.12060448900581834,1.8258947130966527,0.06970959655660237
OPT,7,n-Dodecane[0.50]&Toluene[0.50],mixture,n-Dodecane,Toluene,0.5,644.6125686875,3060560.8655757536,0.06590011605650745,0.23613339041451367,0.021765643791475144
OPT,8,D5[0.50]&n-Nonane[0.50],mixture,D5,n-Nonane,0.5,606.425,1459889.7511596153,0.08428438061721841,0.29033714329829136,0.005753342789850691
OPT,9,DimethylCarbonate[0.49]&o-Xylene[0.51],mixture,DimethylCarbonate,o-Xylene,0.49,594.3620900000001,5280723.745030193,0.11617403867600365,2.1102142964232042,0.08358822314057104
OPT,10,MethylPalmitate[0.50]&n-Butane[0.50],mixture,MethylPalmitate,n-Butane,0.5,719.69401921875,4885022.178823308,-0.05,-1.0,-1.0
OPT,11,Water[0.48]&Toluene[0.52],mixture,Water,Toluene,0.48,618.31608,7373811.576885455,-0.05,-1.0,-1.0
OPT,12,n-Pentane[0.50]&Dichloroethane[0.50],mixture,n-Pentane,Dichloroethane,0.5,515.65,4565813.281635062,0.12376755955753298,8.59903869558876,0.48036161897069823
OPT,13,R141b[0.49]&Water[0.51],mixture,R141b,Water,0.49,563.9939735759204,7170593.544341133,-0.05,-1.0,-1.0
OPT,14,Cyclopentane[0.49]&Benzene[0.51],mixture,Cyclopentane,Benzene,0.49,535.2152570308443,4838198.642483737,0.13283728374307516,6.718412237915046,0.32240034483019053
OPT,15,m-Xylene[0.50]&cis-2-Butene[0.50],mixture,m-Xylene,cis-2-Butene,0.5,526.3199999999999,3561388.32047359,0.035914858097071706,2.6497729839259594,1.1589144091123482
OPT,16,Acetone[0.49]&p-Xylene[0.51],mixture,Acetone,p-Xylene,0.49,572.8642976222345,4865080.551481247,0.09967967553864464,2.595048386742342,0.20491149771981346
OPT,17,R245ca[0.50]&cis-2-Butene[0.50],mixture,R245ca,cis-2-Butene,0.5,441.65999999999997,4618018.337322584,0.10404559299514006,23.065557251935395,2.6792604881043838
OPT,18,o-Xylene[0.50]&Benzene[0.50],mixture,o-Xylene,Benzene,0.5,605.794465421875,4711172.139285007,0.10211968740930258,1.9336200152771943,0.1346695673915446
OPT,19,o-Xylene[0.49]&Methanol[0.51],mixture,o-Xylene,Methanol,0.49,570.65071,7000609.321144086,0.08021879182689352,2.1088902210977674,0.2911114862501453
OPT,20,Novec649[0.50]&MM[0.50],mixture,Novec649,MM,0.5,480.255,1923283.9426242353,0.09143590050300868,5.0967569298127815,0.23335458344158552
OPT,21,HeavyWater[0.49]&Water[0.51],mixture,HeavyWater,Water,0.49,646.6963085710763,21906824.9703977,0.08603123467033139,2.6146679604842444,0.32152932629886444
OPT,22,Water[0.49]&m-Xylene[0.51],mixture,Water,m-Xylene,0.49,631.69094,14118060.42439161,-0.05,-1.0,-1.0
OPT,23,Methanol[0.49]&Toluene[0.51],mixture,Methanol,Toluene,0.49,521.0902431221696,17242672.934559558,-0.05,-1.0,-1.0
OPT,24,Cyclopentane[0.48]&SulfurDioxide[0.52],mixture,Cyclopentane,SulfurDioxide,0.48,469.5584,8482324.293842189,0.06115831545037666,20.66034737461486,7.053029479946233
OPT,25,EthyleneOxide[0.50]&HeavyWater[0.50],mixture,EthyleneOxide,HeavyWater,0.5,556.3835,26706922.411185853,-0.05,-1.0,-1.0
