phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,Water,pure,Water,,1.0,647.0959999999873,22063999.999997754,0.12681006921755208,2.311704929403834,0.07086036839168189
INIT,2,Novec649,pure,Novec649,,1.0,441.81001489490177,1869027.1118194864,0.08447870959516073,9.117094209309407,0.6993407403319396
INIT,3,MethylLinoleate,pure,MethylLinoleate,,1.0,799.0001945392406,1340820.8824579124,-0.05,-1.0,-1.0
INIT,4,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.13683283200041477,9.517956372321867,0.2848780238556828
INIT,5,o-Xylene,pure,o-Xylene,,1.0,630.259003064399,3737459.7566424324,0.04250209849164153,0.5915923372109378,0.2306408676059328
OPT,6,MD4M,pure,MD4M,,1.0,653.199999427594,828558.7151384281,-0.05,-1.0,-1.0
OPT,7,R40,pure,R40,,1.0,418.62565210586763,6929002.575398743,0.1002671533699529,41.310180784964466,7.663389487504891
OPT,8,MethylLinolenate,pure,MethylLinolenate,,1.0,772.0000022320153,1368997.256542253,-0.05,-1.0,-1.0
OPT,9,MD3M,pure,MD3M,,1.0,628.0000256535702,953950.681224102,0.0012009993233287972,0.055629414221711165,0.05389800013390934
OPT,10,MethylOleate,pure,MethylOleate,,1.0,782.0001332054759,1246000.7777377798,-0.05,-1.0,-1.0
OPT,11,R141b,pure,R141b,,1.0,477.5000277059733,4211652.068510759,0.11558436948400747,13.463551826994122,1.3332583891067813
OPT,12,MethylPalmitate,pure,MethylPalmitate,,1.0,755.0001061380809,1349957.890312988,-0.05,-1.0,-1.0
OPT,13,MM,pure,MM,,1.0,518.7001252823088,1931134.437174969,0.10232766428704229,2.4390923970506977,0.0949757223037428
OPT,14,n-Heptane,pure,n-Heptane,,1.0,541.2259150893126,2773824.280294774,0.11569262754872749,2.639699557725966,0.10080706969365272
OPT,15,R142b,pure,R142b,,1.0,410.2602326520994,4054783.4201340955,0.09882910332407795,33.51537736714658,4.640820447350433
OPT,16,n-Hexane,pure,n-Hexane,,1.0,507.8199998837351,3044115.3230223763,0.11511831536882385,5.52558642035221,0.31199260292886866
OPT,17,R11,pure,R11,,1.0,471.1099999985589,4407637.999963813,0.12214207406792776,16.248659543228523,1.4923482049892431
OPT,18,MDM,pure,MDM,,1.0,565.3609009312738,1437537.7755043951,0.09925916382242578,0.5557831300766731,0.009368472341028413
OPT,19,cis-2-Butene,pure,cis-2-Butene,,1.0,435.7500765852436,4236038.176467434,0.10937553508271895,23.49869737808638,2.923503780048993
OPT,20,n-Pentane,pure,n-Pentane,,1.0,469.69999987111663,3367518.9836068754,0.11402334622768406,11.985872628578566,0.9774709690520448
OPT,21,n-Nonane,pure,n-Nonane,,1.0,594.5478132119172,2281911.0314392075,0.10823734063576156,0.6430439672825062,0.01625371371124637
OPT,22,n-Dodecane,pure,n-Dodecane,,1.0,658.1000268582027,1817569.5498990365,-0.05,-1.0,-1.0
OPT,23,D4,pure,D4,,1.0,586.5000035318247,1347215.4316793245,0.09871249144830817,0.2876275508378377,0.002750549969728705
OPT,24,R113,pure,R113,,1.0,487.2100000166609,3392266.3311416013,0.11589619336196247,9.167864772500204,0.6966495675941294
OPT,25,R245ca,pure,R245ca,,1.0,447.5699955219675,3940740.1841818695,0.11135899624245887,19.246754954534005,1.4948713490442849
