order,mixture
1,R1234ze(Z)[0.50]&CycloHexane[0.50]
2,EthylBenzene[0.49]&DimethylCarbonate[0.51]
3,Cyclopentane[0.47]&MD4M[0.53]
4,MDM[0.50]&MD2M[0.50]
5,Methanol[0.49]&R365MFC[0.51]
1,DimethylCarbonate[0.49]&EthylBenzene[0.51]
2,EthylBenzene[0.38]&DimethylCarbonate[0.62]
3,EthylBenzene[0.29]&DimethylCarbonate[0.71]
4,EthylBenzene[0.31]&DimethylCarbonate[0.69]
5,EthylBenzene[0.22]&R1234ze(Z)[0.78]
6,DimethylCarbonate[0.33]&R1234ze(Z)[0.67]
7,EthylBenzene[0.26]&R1234ze(Z)[0.74]
8,R1234ze(Z)[0.23]&DimethylCarbonate[0.77]
9,EthylBenzene[0.21]&R1234ze(Z)[0.79]
10,EthylBenzene[0.25]&DimethylCarbonate[0.75]
