phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,m-Xylene[0.49]&DiethylEther[0.51],mixture,m-Xylene,DiethylEther,0.49,540.2931,3742355.6203920636,0.06869867648269867,2.519830360114092,0.44026719918883866
INIT,2,D6[0.49]&R113[0.51],mixture,D6,R113,0.49,564.9093,1384315.852022172,-0.05,-1.0,-1.0
INIT,3,Benzene[0.50]&n-Butane[0.50],mixture,Benzene,n-Butane,0.5,504.0504258359375,5205567.16568615,0.09534999296556416,10.876263545612302,1.4246266662120564
INIT,4,D5[0.50]&MD2M[0.50],mixture,D5,MD2M,0.5,608.8499999999999,1148049.8589070677,-0.05,-1.0,-1.0
INIT,5,R21[0.50]&EthylBenzene[0.50],mixture,R21,EthylBenzene,0.5,534.3,4390764.509209684,0.02097374880546237,1.8706227031955138,1.1894711638160274
OPT,1,Benzene[0.31]&DiethylEther[0.69],mixture,Benzene,DiethylEther,0.31,500.3736568983725,4286480.403245678,0.07745140559696374,10.331559252457645,2.2598136886860978
OPT,2,Benzene[0.29]&DiethylEther[0.71],mixture,Benzene,DiethylEther,0.29,498.3384591993944,4252660.696051222,0.12129269509143753,10.422012923718045,0.6182806830233697
OPT,3,Benzene[0.50]&DiethylEther[0.50],mixture,Benzene,DiethylEther,0.5,518.9810681640624,4562857.98070498,0.1034284021082503,8.485221038371956,0.8877079841024319
OPT,4,Benzene[0.09]&HeavyWater[0.91],mixture,Benzene,HeavyWater,0.09,636.48257,24471106.580805503,-0.05,-1.0,-1.0
OPT,5,Benzene[0.47]&n-Butane[0.53],mixture,Benzene,n-Butane,0.47000000000000003,499.844929103814,5168425.235098867,0.09154099066152364,11.527199986096324,1.7051721213466549
OPT,6,n-Butane[0.45]&Benzene[0.55],mixture,n-Butane,Benzene,0.45,510.9036113901183,5253746.881446053,0.02734017110854576,9.979376512670184,6.276979843067963
OPT,7,Benzene[0.21]&EthylBenzene[0.79],mixture,Benzene,EthylBenzene,0.21,610.8565573011837,3993312.1244427483,0.12885541142415047,1.5175181133571396,0.03440620311003402
OPT,8,DiethylEther[0.31]&Benzene[0.69],mixture,DiethylEther,Benzene,0.31,536.4016598193214,4763149.995131984,0.11241662985522514,5.51253842343261,0.42221245555658954
OPT,9,EthylBenzene[0.24]&Benzene[0.76],mixture,EthylBenzene,Benzene,0.24,583.3279050555707,4838770.189241272,0.13080875187762073,2.9847596819680646,0.10138407171904742
OPT,10,EthylBenzene[0.37]&Benzene[0.63],mixture,EthylBenzene,Benzene,0.37,591.7998760443387,4679388.713848115,0.12170924507220537,2.2283076276434315,0.09043159982426306
OPT,11,EthylBenzene[0.33]&Benzene[0.67],mixture,EthylBenzene,Benzene,0.33,589.360565386577,4733340.709543015,0.11611622193276439,2.145938943877612,0.10903813137248122
OPT,12,EthylBenzene[0.29]&Benzene[0.71],mixture,EthylBenzene,Benzene,0.29,586.7775912733406,4783270.11011803,0.1253747139580454,2.773700741693676,0.10924964178975352
OPT,13,EthylBenzene[0.28]&Benzene[0.72],mixture,EthylBenzene,Benzene,0.28,586.1080126685923,4795032.239485283,0.13172838865746433,3.0307504216114,0.09651568316337628
OPT,14,EthylBenzene[0.05]&DiethylEther[0.95],mixture,EthylBenzene,DiethylEther,0.05,474.22099999999995,3684143.067682605,0.12200129627752174,12.299877020213902,0.6853354201080014
OPT,15,EthylBenzene[0.05]&m-Xylene[0.95],mixture,EthylBenzene,m-Xylene,0.05,616.8742312589238,3538817.2960391324,0.12415206711650797,0.8612137775234519,0.022520145125638647
OPT,16,EthylBenzene[0.05]&Water[0.95],mixture,EthylBenzene,Water,0.05,645.5971999999999,24234481.756231293,-0.05,-1.0,-1.0
OPT,17,EthylBenzene[0.32]&Benzene[0.68],mixture,EthylBenzene,Benzene,0.32,588.7287332310475,4746229.329136082,0.12244535076747556,2.7434765808987613,0.11759376402042644
OPT,18,EthylBenzene[0.07]&DiethylEther[0.93],mixture,EthylBenzene,DiethylEther,0.07,477.2294,3697716.0068405494,0.12169692816743045,12.24503204189346,0.6680840286453628
OPT,19,EthylBenzene[0.31]&Benzene[0.69],mixture,EthylBenzene,Benzene,0.31,588.087752315824,4758855.41455366,0.12200196604175471,2.582534689024661,0.11179030820572447
OPT,20,EthylBenzene[0.05]&HeavyWater[0.95],mixture,EthylBenzene,HeavyWater,0.05,642.5106499999999,23892986.387862936,-0.05,-1.0,-1.0
