phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,IsoButene,pure,IsoButene,,1.0,418.08980215358235,4015706.5347842663,0.10451734591784848,33.215366787810765,4.086847968947598
INIT,2,R113,pure,R113,,1.0,487.2100000166609,3392266.3311416013,0.11344943147636755,8.407758407273697,0.6874517041860981
INIT,3,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12839691733086697,3.5079043982612226,0.12081312641480202
INIT,4,MD2M,pure,MD2M,,1.0,599.3992011721302,1144009.0031759262,0.07824821212367714,0.17792441112077673,0.005513878989715444
INIT,5,n-Undecane,pure,n-Undecane,,1.0,638.8000144673849,1990452.1527680526,0.06548864157565916,0.160157627375294,0.018547899123751283
OPT,1,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.11381954483835316,2.613322365940903,0.14506089991789853
OPT,2,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12698621366001256,3.3192416165950025,0.11901507093802031
OPT,3,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.1172851933819021,2.7762784288790043,0.13767074468931206
OPT,4,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12740375701307782,3.459148690469554,0.12342352517264789
OPT,5,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12722041902154835,3.3665152415494224,0.12007538246343823
OPT,6,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12772415692212152,3.500593194762122,0.12374278085684526
OPT,7,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12827191041910002,3.467825288361975,0.11963960955473735
OPT,8,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12171950394322618,3.395948636458551,0.15023977450207235
OPT,9,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12310320146695228,3.268778399810351,0.13577649306383524
OPT,10,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.1267266394407634,3.3838951418034124,0.1232442338810977
OPT,11,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12818247450199108,3.4622151194690303,0.1198159701957231
OPT,12,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12225671320129805,2.9076388318594066,0.12084752753207476
OPT,13,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12798734321507685,3.45810970293816,0.1205627606249074
OPT,14,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12598989583893605,3.459876938845036,0.13050204231408832
OPT,15,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.1278555752424681,3.430508174320622,0.11995590646272498
OPT,16,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12701501929554096,3.526692127792697,0.12846055615229396
OPT,17,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12779616852202205,3.483857999861294,0.12263720353147958
OPT,18,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12635038362673057,3.3863163614345244,0.12519362179052668
OPT,19,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12415047939065052,3.272965558425568,0.13060881456514808
OPT,20,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12640899351287646,3.387951254343206,0.12498309803866534
