phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,R21[0.50]&EthylBenzene[0.50],mixture,R21,EthylBenzene,0.5,534.3,4390764.509209684,0.04216577698823629,2.9026095321967262,1.134945674314643
INIT,2,n-Octane[0.50]&MM[0.50],mixture,n-Octane,MM,0.5,543.72,2222480.3152123904,0.10941846208363974,1.9253350297722023,0.05591089851125379
INIT,3,HeavyWater[0.50]&trans-2-Butene[0.50],mixture,HeavyWater,trans-2-Butene,0.5,536.2284999999999,17760359.30598028,-0.05,-1.0,-1.0
INIT,4,trans-2-Butene[0.41]&Benzene[0.59],mixture,trans-2-Butene,Benzene,0.41000000000000003,507.32189999999997,4484072.994649536,0.09547507040481513,9.162651334770846,1.188644099168911
INIT,5,EthylBenzene[0.38]&Benzene[0.62],mixture,EthylBenzene,Benzene,0.38,592.388512867136,4665354.157755135,0.11785207992898289,2.0278608682068966,0.0924791569567317
INIT,6,Toluene[0.40]&Benzene[0.60],mixture,Toluene,Benzene,0.4,573.1532668698105,4540582.669859143,0.13234289133332403,3.2510564441129186,0.11545219903917042
INIT,7,HeavyWater[0.33]&Benzene[0.67],mixture,HeavyWater,Benzene,0.33,589.02291,15160774.546382533,-0.05,-1.0,-1.0
INIT,8,Benzene[0.30]&HeavyWater[0.70],mixture,Benzene,HeavyWater,0.3,619.2989,23925776.59345726,-0.05,-1.0,-1.0
OPT,9,m-Xylene[0.50]&n-Heptane[0.50],mixture,m-Xylene,n-Heptane,0.5,578.4750959078126,3241009.5579697746,0.1261077461036545,1.8021750082553878,0.04027700801000122
OPT,10,Isohexane[0.50]&MD3M[0.50],mixture,Isohexane,MD3M,0.5,563.33,1383300.2686702718,-0.05,-1.0,-1.0
OPT,11,n-Butane[0.48]&n-Dodecane[0.52],mixture,n-Butane,n-Dodecane,0.48,635.9769898577576,4453989.779281359,-0.05,-1.0,-1.0
OPT,12,R123[0.48]&n-Dodecane[0.52],mixture,R123,n-Dodecane,0.48,561.4908800000001,2440300.079249808,-0.05,-1.0,-1.0
