order,mixture
1,n-Pentane[0.49]&MethylLinoleate[0.51]
2,HeavyWater[0.50]&R114[0.50]
3,HeavyWater[0.21]&IsoButene[0.79]
4,IsoButene[0.47]&1-Butene[0.53]
5,R114[0.21]&IsoButene[0.79]
6,IsoButene[0.25]&1-Butene[0.75]
7,R114[0.50]&MethylPalmitate[0.50]
8,HeavyWater[0.50]&DiethylEther[0.50]
9,Methanol[0.50]&R40[0.50]
10,1-Butene[0.50]&SulfurDioxide[0.50]
11,R1233zd(E)[0.50]&Acetone[0.50]
12,HeavyWater[0.50]&R40[0.50]
13,EthyleneOxide[0.50]&Ethanol[0.50]
14,MethylLinoleate[0.50]&MethylOleate[0.50]
15,n-Decane[0.48]&Methanol[0.52]
16,MethylPalmitate[0.48]&Water[0.52]
