phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,R141b[0.50]&R236EA[0.50],mixture,R141b,R236EA,0.5,444.97,3776068.7879754333,0.115937358031769,20.657737718803684,1.5679482141527554
INIT,2,Acetone[0.46]&MD2M[0.54],mixture,Acetone,MD2M,0.46,557.402,2038535.2681647574,0.026545923581154613,0.525888369585453,0.19758080241215814
INIT,3,MDM[0.49]&HeavyWater[0.51],mixture,MDM,HeavyWater,0.49,605.3888114477257,2744204.5390602467,-0.05,-1.0,-1.0
INIT,4,n-Butane[0.49]&R40[0.51],mixture,n-Butane,R40,0.49,420.62425,5228010.029398043,0.09254833802616007,24.80124149535028,4.981546120590988
INIT,5,R141b[0.46]&n-Butane[0.54],mixture,R141b,n-Butane,0.46,449.21750000000003,4179001.5033276696,0.11787477600508796,22.066610636375703,1.940118356609363
INIT,6,MD2M[0.48]&Acetone[0.52],mixture,MD2M,Acetone,0.48,551.924,2173856.3027532184,0.027458515279041924,0.6149625817534382,0.24170613680564654
INIT,7,R141b[0.50]&R40[0.50],mixture,R141b,R40,0.5,446.9,5142690.930130886,0.11488012070325979,30.12284825156341,3.20419282594606
INIT,8,MD2M[0.17]&HeavyWater[0.83],mixture,MD2M,HeavyWater,0.17,636.2908741852685,5349983.250517159,-0.05,-1.0,-1.0
OPT,9,DiethylEther[0.49]&R365MFC[0.51],mixture,DiethylEther,R365MFC,0.49,463.283,3638175.650515797,0.10609313915419319,11.668247329083124,1.0473707584378733
OPT,10,n-Undecane[0.48]&MethylLinolenate[0.52],mixture,n-Undecane,MethylLinolenate,0.48,722.104,1573822.8112981925,-0.05,-1.0,-1.0
OPT,11,n-Dodecane[0.50]&MethylLinolenate[0.50],mixture,n-Dodecane,MethylLinolenate,0.5,728.55,1625060.1048024136,-0.05,-1.0,-1.0
OPT,12,R245fa[0.50]&R365MFC[0.50],mixture,R245fa,R365MFC,0.5,443.505,3498914.546008932,0.11240248518614608,18.99629673857107,1.2422927572923952
OPT,13,MethylLinoleate[0.50]&MethylPalmitate[0.50],mixture,MethylLinoleate,MethylPalmitate,0.5,763.6659432988749,1363871.9137372382,-0.05,-1.0,-1.0
OPT,14,Acetone[0.49]&MethylOleate[0.51],mixture,Acetone,MethylOleate,0.49,647.789,2219568.0176828727,-0.05,-1.0,-1.0
OPT,15,R40[0.49]&R11[0.51],mixture,R40,R11,0.49,444.2531,5562739.951579421,0.11180460764046346,34.5590302918322,4.191362289730825
OPT,16,MethylLinolenate[0.47]&Acetone[0.53],mixture,MethylLinolenate,Acetone,0.47000000000000003,644.823,2395692.4798614304,-0.05,-1.0,-1.0
OPT,17,EthyleneOxide[0.50]&MethylLinolenate[0.50],mixture,EthyleneOxide,MethylLinolenate,0.5,633.96,1950194.6069469177,-0.05,-1.0,-1.0
OPT,18,EthyleneOxide[0.50]&R40[0.50],mixture,EthyleneOxide,R40,0.5,442.61,7625082.504439399,0.11444256777653895,37.66008826156019,4.839995495912605
OPT,19,n-Decane[0.50]&HeavyWater[0.50],mixture,n-Decane,HeavyWater,0.5,630.7735,8779283.63148313,-0.05,-1.0,-1.0
OPT,20,MethylLinolenate[0.50]&o-Xylene[0.50],mixture,MethylLinolenate,o-Xylene,0.5,714.6295,2004001.3917936108,-0.05,-1.0,-1.0
OPT,21,MD3M[0.48]&n-Undecane[0.52],mixture,MD3M,n-Undecane,0.48,634.0768,1300964.8669370592,-0.05,-1.0,-1.0
