order,mixture
1,n-Undecane[0.50]&MethylLinolenate[0.50]
2,DiethylEther[0.49]&R236EA[0.51]
3,MethylPalmitate[0.50]&MD3M[0.50]
4,n-Nonane[0.49]&R1234ze(Z)[0.51]
5,MethylOleate[0.47]&EthylBenzene[0.53]
1,R236EA[0.49]&DiethylEther[0.51]
2,R236EA[0.27]&R1234ze(Z)[0.73]
3,R1234ze(Z)[0.49]&DiethylEther[0.51]
4,R1234ze(Z)[0.30]&R236EA[0.70]
5,R1234ze(Z)[0.31]&R236EA[0.69]
6,R1234ze(Z)[0.22]&DiethylEther[0.78]
7,R1234ze(Z)[0.31]&DiethylEther[0.69]
8,R1234ze(Z)[0.34]&R236EA[0.66]
9,R1234ze(Z)[0.25]&R236EA[0.75]
10,R1234ze(Z)[0.13]&DiethylEther[0.87]
11,R1234ze(Z)[0.29]&DiethylEther[0.71]
12,R1234ze(Z)[0.27]&R236EA[0.73]
13,R1234ze(Z)[0.28]&R236EA[0.72]
14,R1234ze(Z)[0.28]&DiethylEther[0.72]
15,R1234ze(Z)[0.05]&Water[0.95]
16,R1234ze(Z)[0.26]&R236EA[0.74]
17,R1234ze(Z)[0.05]&HeavyWater[0.95]
18,R1234ze(Z)[0.05]&EthylBenzene[0.95]
19,R1234ze(Z)[0.05]&MethylPalmitate[0.95]
20,R1234ze(Z)[0.18]&MD3M[0.82]
