phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,R245ca[0.49]&MethylPalmitate[0.51],mixture,R245ca,MethylPalmitate,0.49,604.3593,2065264.451919195,-0.05,-1.0,-1.0
INIT,2,DimethylCarbonate[0.49]&MethylLinolenate[0.51],mixture,DimethylCarbonate,MethylLinolenate,0.49,680.4200000000001,2780360.9080700013,-0.05,-1.0,-1.0
INIT,3,R114[0.50]&MD2M[0.50],mixture,R114,MD2M,0.5,509.115,1559774.0375087606,-0.05,-1.0,-1.0
INIT,4,o-Xylene[0.48]&Neopentane[0.52],mixture,o-Xylene,Neopentane,0.48,528.06912,3389352.0818960452,0.025849746408846574,2.3368773984081876,1.2703998548315867
INIT,5,Neopentane[0.47]&o-Xylene[0.53],mixture,Neopentane,o-Xylene,0.47000000000000003,537.89507,3416300.531908403,0.023951826704595267,2.076311811120724,1.1654454886007894
INIT,6,Isopentane[0.49]&m-Xylene[0.51],mixture,Isopentane,m-Xylene,0.49,540.1854000000001,3507618.098029009,0.04631796650378872,1.7367381987121242,0.5626644843644405
INIT,7,R114[0.28]&Neopentane[0.72],mixture,R114,Neopentane,0.28,429.5652,3438430.210137624,0.10293153041934398,24.349645265701735,2.6770221075928036
INIT,8,m-Xylene[0.50]&o-Xylene[0.50],mixture,m-Xylene,o-Xylene,0.5,623.6783680374999,3640623.578469034,0.12616481853251937,0.8420299095618529,0.01965331673240613
OPT,9,o-Xylene[0.49]&DiethylEther[0.51],mixture,o-Xylene,DiethylEther,0.49,546.84391,3849592.5946241654,0.04842286481012544,1.5003004310834134,0.4490500677137105
OPT,10,CycloHexane[0.49]&n-Undecane[0.51],mixture,CycloHexane,n-Undecane,0.49,631.583470703383,3480322.552908024,0.008408710217128192,0.4959287217951593,0.3946707416911517
OPT,11,n-Hexane[0.49]&p-Xylene[0.51],mixture,n-Hexane,p-Xylene,0.49,570.6033968989115,3726231.176742245,0.10461701642095718,2.3554245432821372,0.1282610447827988
OPT,12,R114[0.50]&n-Butane[0.50],mixture,R114,n-Butane,0.5,421.97749999999996,3669136.781881935,0.10356064669573108,29.014672592606633,3.2778808490908995
OPT,13,R123[0.50]&R11[0.50],mixture,R123,R11,0.5,463.9705,4278421.054536093,0.049936312939547596,17.18788261585544,7.827867687258543
OPT,14,Toluene[0.49]&SulfurDioxide[0.51],mixture,Toluene,SulfurDioxide,0.49,554.6598486179674,8718784.016592406,0.04723535598872323,5.490552537446184,2.1015470247223824
OPT,15,SulfurDioxide[0.50]&n-Butane[0.50],mixture,SulfurDioxide,n-Butane,0.5,427.8825,8458528.052410021,0.08653713716722013,37.11233614232244,7.865455928313841
OPT,16,Acetone[0.50]&n-Decane[0.50],mixture,Acetone,n-Decane,0.5,592.2375454687501,4199164.407237216,0.038005331802239056,0.9400427585288706,0.3151853953371558
OPT,17,IsoButene[0.50]&R236EA[0.50],mixture,IsoButene,R236EA,0.5,415.265,4235323.006573732,0.08412543679149152,20.655035944630168,4.108247208021645
OPT,18,Water[0.49]&MethylLinolenate[0.51],mixture,Water,MethylLinolenate,0.49,724.56704,5207011.396574077,-0.05,-1.0,-1.0
OPT,19,R236EA[0.48]&R365MFC[0.52],mixture,R236EA,R365MFC,0.48,437.1712,3414921.6958836038,0.100158670337052,17.269516805287672,1.6041027463995905
OPT,20,MethylPalmitate[0.49]&HeavyWater[0.51],mixture,MethylPalmitate,HeavyWater,0.49,698.31197,5948913.681385064,-0.05,-1.0,-1.0
OPT,21,n-Hexane[0.50]&R11[0.50],mixture,n-Hexane,R11,0.5,489.46500000000003,3691580.5573758404,0.1196431789302035,10.53840577515493,0.6717874162256069
OPT,22,n-Decane[0.50]&Methanol[0.50],mixture,n-Decane,Methanol,0.5,791.5989953124999,12586055.535968533,0.03545922912362863,0.7279124135427961,0.2803419077294522
OPT,23,Novec649[0.50]&IsoButene[0.50],mixture,Novec649,IsoButene,0.5,429.95,2637377.004744179,0.08861194891269303,18.853439151032372,1.6867899401248214
OPT,24,MethylLinoleate[0.49]&MD4M[0.51],mixture,MethylLinoleate,MD4M,0.49,711.412,1308950.4438091316,-0.05,-1.0,-1.0
OPT,25,R114[0.49]&R142b[0.51],mixture,R114,R142b,0.49,414.4593,3819621.8706677724,0.09898672301750391,29.764473907539276,3.844959036173884
OPT,26,SulfurDioxide[0.49]&Neopentane[0.51],mixture,SulfurDioxide,Neopentane,0.49,432.221,6562112.544399206,0.07181451597676312,23.74739376153564,6.517113252526269
OPT,27,R142b[0.50]&R114[0.50],mixture,R142b,R114,0.5,414.54499999999996,3811315.301584942,0.09934271636677172,30.065900356454947,3.812203904051501
OPT,28,MethylLinoleate[0.49]&MethylOleate[0.51],mixture,MethylLinoleate,MethylOleate,0.49,777.2718186386176,1309280.5834477623,-0.05,-1.0,-1.0
