phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,Cyclopentane,pure,Cyclopentane,,1.0,511.7200672568634,4582765.586028514,0.12381671210818655,8.5627190649536,0.6325671541770596
INIT,2,n-Decane,pure,n-Decane,,1.0,617.6988452458754,2101336.691813891,0.11525513588512602,0.31843813738392673,0.003675160630706842
INIT,3,Isohexane,pure,Isohexane,,1.0,497.70089775111575,3042658.694875517,0.06969022110003437,3.0247472443105106,0.7205506402788009
INIT,4,DiethylEther,pure,DiethylEther,,1.0,467.8996408899039,3717320.6335552176,0.11367408533552842,13.076366804996846,1.0418200033866512
INIT,5,R245fa,pure,R245fa,,1.0,427.00998969559254,3650995.024128124,0.10830899316603346,25.753115974268926,2.1211024756082404
INIT,6,trans-2-Butene,pure,trans-2-Butene,,1.0,428.61053576550944,4019095.037933443,0.11010802009375546,27.88741022187746,3.1934541744679477
INIT,7,MM,pure,MM,,1.0,518.7001252823088,1931134.437174969,0.1023255518617709,2.402889442323413,0.09359465070604332
INIT,8,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11155751106122876,14.206877687528936,1.2947799919606189
OPT,9,DimethylCarbonate,pure,DimethylCarbonate,,1.0,557.0000000185722,4908754.940663761,0.12425971151465579,3.3623636050946057,0.13459393939080141
OPT,10,CycloHexane,pure,CycloHexane,,1.0,553.6000188557726,4080525.8791621355,0.12344718029318176,4.012140810697555,0.2084450298456111
OPT,11,Toluene,pure,Toluene,,1.0,591.7490789362913,4126346.9485955853,0.1241709184100193,1.7318666178997433,0.06731662126649719
OPT,12,m-Xylene,pure,m-Xylene,,1.0,616.890000360268,3534599.0782215013,0.1255412178134628,0.8439685648241149,0.020681422459767618
OPT,13,Ethanol,pure,Ethanol,,1.0,514.7092848812961,6267914.582702095,0.13293085176422373,6.44960983133122,0.1450657351029162
OPT,14,R21,pure,R21,,1.0,452.72016234362053,5288505.217724644,0.12006649749962543,25.616064155356217,2.5551438288643658
OPT,15,Methanol,pure,Methanol,,1.0,513.3795127230579,8215853.274947686,0.13695390416783124,9.471541082118717,0.28190170170040996
OPT,16,EthyleneOxide,pure,EthyleneOxide,,1.0,468.9200076903809,7304686.9983511865,0.11772811042749746,26.22546470726911,2.967091238239933
OPT,17,MDM,pure,MDM,,1.0,565.3609009312738,1437537.7755043951,0.08971942792607493,0.3702873009856152,0.011291940852059897
OPT,18,R40,pure,R40,,1.0,418.62565210586763,6929002.575398743,0.10916102301659832,58.1764988673219,7.647228364791154
OPT,19,MethylLinolenate,pure,MethylLinolenate,,1.0,772.0000022320153,1368997.256542253,-0.05,-1.0,-1.0
OPT,20,n-Dodecane,pure,n-Dodecane,,1.0,658.1000268582027,1817569.5498990365,0.004169803911042648,0.08797423183799577,0.07926420213463202
OPT,21,MD2M,pure,MD2M,,1.0,599.3992011721302,1144009.0031759262,-0.05,-1.0,-1.0
OPT,22,MethylPalmitate,pure,MethylPalmitate,,1.0,755.0001061380809,1349957.890312988,-0.05,-1.0,-1.0
OPT,23,MethylOleate,pure,MethylOleate,,1.0,782.0001332054759,1246000.7777377798,-0.05,-1.0,-1.0
