phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,m-Xylene[0.49]&DiethylEther[0.51],mixture,m-Xylene,DiethylEther,0.49,540.2931,3742355.6203920636,0.06869867648269867,2.519830360114092,0.44026719918883866
INIT,2,D6[0.49]&R113[0.51],mixture,D6,R113,0.49,564.9093,1384315.852022172,-0.05,-1.0,-1.0
INIT,3,Benzene[0.50]&n-Butane[0.50],mixture,Benzene,n-Butane,0.5,504.0504258359375,5205567.16568615,0.09534999296556416,10.876263545612302,1.4246266662120564
INIT,4,D5[0.50]&MD2M[0.50],mixture,D5,MD2M,0.5,608.8499999999999,1148049.8589070677,-0.05,-1.0,-1.0
INIT,5,R21[0.50]&EthylBenzene[0.50],mixture,R21,EthylBenzene,0.5,534.3,4390764.509209684,0.02097374880546237,1.8706227031955138,1.1894711638160274
OPT,1,Benzene[0.31]&DiethylEther[0.69],mixture,Benzene,DiethylEther,0.31,500.3736568983725,4286480.403245678,0.07745140559696374,10.331559252457645,2.2598136886860978
OPT,2,Benzene[0.29]&DiethylEther[0.71],mixture,Benzene,DiethylEther,0.29,498.3384591993944,4252660.696051222,0.12129269509143753,10.422012923718045,0.6182806830233697
OPT,3,Benzene[0.50]&DiethylEther[0.50],mixture,Benzene,DiethylEther,0.5,518.9810681640624,4562857.98070498,0.1034284021082503,8.485221038371956,0.8877079841024319
OPT,4,Benzene[0.09]&HeavyWater[0.91],mixture,Benzene,HeavyWater,0.09,636.48257,24471106.580805503,-0.05,-1.0,-1.0
OPT,5,Benzene[0.47]&n-Butane[0.53],mixture,Benzene,n-Butane,0.47000000000000003,499.844929103814,5168425.235098867,0.09644776982692174,11.446437228134194,1.4777968283334624
OPT,6,Benzene[0.27]&DiethylEther[0.73],mixture,Benzene,DiethylEther,0.27,496.28725264351283,4217888.65791641,0.1047746754351489,10.169685684358539,1.0287462467173512
OPT,7,Benzene[0.14]&n-Butane[0.86],mixture,Benzene,n-Butane,0.14,449.3261296853331,4357114.990866606,0.10934402821580587,24.162481807812757,2.560667238593626
OPT,8,Benzene[0.23]&n-Butane[0.77],mixture,Benzene,n-Butane,0.23,463.88135308898114,4649831.4211911885,0.08066846045873868,13.446277709758915,2.940620590229241
OPT,9,Benzene[0.25]&n-Butane[0.75],mixture,Benzene,n-Butane,0.25,467.0311414074097,4707738.751739668,0.10886959258672024,18.41198934281033,1.9008039929069807
OPT,10,Benzene[0.34]&n-Butane[0.66],mixture,Benzene,n-Butane,0.34,480.86017100858066,4935794.378256456,0.10266581024762249,14.831400865631812,1.7343732995536933
OPT,11,Benzene[0.33]&n-Butane[0.67],mixture,Benzene,n-Butane,0.33,479.3509381968893,4913117.38946547,0.10361740102376178,15.199961799499679,1.7408436867770427
OPT,12,Benzene[0.32]&n-Butane[0.68],mixture,Benzene,n-Butane,0.32,477.8349053113719,4889768.213296917,0.10038062250564074,15.45354628266541,1.946775167505407
OPT,13,Benzene[0.21]&DiethylEther[0.79],mixture,Benzene,DiethylEther,0.21,490.0323310451105,4107690.7368708607,0.1250336098836787,11.219585924330007,0.5894443287910675
OPT,14,Benzene[0.40]&n-Butane[0.60],mixture,Benzene,n-Butane,0.4,489.77139626257923,5057595.689059371,0.0997270491323139,13.114709587186892,1.6078820314899422
OPT,15,Benzene[0.41]&n-Butane[0.59],mixture,Benzene,n-Butane,0.41000000000000003,491.23218283588676,5075499.046057035,0.0973115541568004,12.869132911701355,1.6778411533872442
OPT,16,Benzene[0.26]&DiethylEther[0.74],mixture,Benzene,DiethylEther,0.26,495.2554912324211,4200140.438359616,0.020176152302779745,7.432458391819802,5.41392894545327
OPT,17,Benzene[0.26]&n-Butane[0.74],mixture,Benzene,n-Butane,0.26,468.59532165516003,4735715.698166239,0.10006495097619919,14.45130206609605,1.8993065510672884
OPT,18,Benzene[0.06]&R21[0.94],mixture,Benzene,R21,0.06,458.1124,5229275.976615629,0.1310207636813707,23.641619589678054,1.7263315527561507
OPT,19,R21[0.28]&Benzene[0.72],mixture,R21,Benzene,0.28,531.0688,5163839.720170387,0.1063551925050393,7.865073393642709,0.7427971238494075
OPT,20,R21[0.25]&Benzene[0.75],mixture,R21,Benzene,0.25,534.385,5141525.27652415,0.09861210880360184,7.345376131667328,0.8584157665111821
