phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar
INIT,1,R245ca,pure,R245ca,,1.0,447.5699955219675,3940740.1841818695,0.09939487406285225,16.908273239682156,1.9429185723189888
INIT,2,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11186898994305228,14.304452522680172,1.290457936321908
INIT,3,MD3M,pure,MD3M,,1.0,628.0000256535702,953950.681224102,0.04508462626994843,0.030330540989558924,0.004780743589467063
INIT,4,MethylLinolenate,pure,MethylLinolenate,,1.0,772.0000022320153,1368997.256542253,-0.05,-1.0,-1.0
INIT,5,D4,pure,D4,,1.0,586.5000035318247,1347215.4316793245,-0.05,-1.0,-1.0
OPT,1,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11019892887059439,13.721242476722422,1.3073599904459685
OPT,2,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11184313189153185,14.369127918223715,1.2967623845873597
OPT,3,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.10348908231024113,11.037833668816326,1.2979212125450106
OPT,4,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.10234662710091862,12.027538871843118,1.4582167647312643
OPT,5,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11190304546780229,14.324755845935963,1.2907659088370478
OPT,6,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11197029141121337,14.367899789064467,1.2916120137760636
OPT,7,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11191741761911045,14.336549166054837,1.2911575504584445
OPT,8,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11161907610495568,14.31900371860853,1.3015807818812837
OPT,9,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.10379075957852879,11.453851952078159,1.333820279935199
OPT,10,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11140889804970613,14.1503685519166,1.295983846871825
OPT,11,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11198833786390253,14.360486684977447,1.290294614601966
OPT,12,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11190237957651644,14.350020808932184,1.2928511737102344
OPT,13,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11193668945170468,14.33148009881146,1.289981390443739
OPT,14,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.11137249170101546,14.276559070050112,1.3079234984427754
OPT,15,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.1116015204660107,14.294565065071017,1.3002687753209101
OPT,16,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.1114390951518182,14.22031860422064,1.3005978498345985
OPT,17,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.1118046054349346,14.279267746528086,1.2909475075064987
OPT,18,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.09526333318582089,9.224483972925968,1.3704881453497595
OPT,19,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.1118294322669412,14.32686162731199,1.2938564524599732
OPT,20,Isopentane,pure,Isopentane,,1.0,460.3497947114459,3378217.2241799296,0.111025096903449,13.903502017908654,1.290399642611165
