order,mixture
1,MethylOleate[0.50]&Acetone[0.50]
2,MD4M[0.49]&R11[0.51]
3,trans-2-Butene[0.49]&n-Butane[0.51]
4,Acetone[0.38]&n-Octane[0.62]
5,Acetone[0.50]&R11[0.50]
6,Methanol[0.49]&n-Butane[0.51]
7,R1233zd(E)[0.50]&Ethanol[0.50]
8,Cyclopentane[0.49]&Acetone[0.51]
9,R141b[0.47]&R365MFC[0.53]
10,R245ca[0.48]&Dichloroethane[0.52]
11,DiethylEther[0.49]&Methanol[0.51]
12,HeavyWater[0.49]&Benzene[0.51]
13,Novec649[0.49]&DiethylEther[0.51]
14,R40[0.50]&CycloHexane[0.50]
15,m-Xylene[0.49]&HeavyWater[0.51]
16,SulfurDioxide[0.49]&R40[0.51]
17,Methanol[0.50]&Cyclopentane[0.50]
18,CycloHexane[0.49]&Dichloroethane[0.51]
19,D5[0.50]&R114[0.50]
20,HeavyWater[0.49]&R113[0.51]
21,Benzene[0.50]&Cyclopentane[0.50]
22,CycloHexane[0.49]&EthyleneOxide[0.51]
23,R1233zd(E)[0.49]&Ethanol[0.51]
24,Ethanol[0.49]&R21[0.51]
25,Acetone[0.50]&Isohexane[0.50]
