phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,R1234ze(Z)[0.50]&CycloHexane[0.50],mixture,R1234ze(Z),CycloHexane,0.5,488.435,4241065.401114702,0.10018500732884664,10.633366495104356,1.1232684749464177,1.0
INIT,2,EthylBenzene[0.49]&DimethylCarbonate[0.51],mixture,EthylBenzene,DimethylCarbonate,0.49,586.4588,5272514.221041542,0.11633934728080117,2.034139843454924,0.08598110132976744,2.0
INIT,3,Cyclopentane[0.47]&MD4M[0.53],mixture,Cyclopentane,MD4M,0.47000000000000003,586.7044000000001,1252226.7209527644,-0.05,-1.0,-1.0,3.0
INIT,4,MDM[0.50]&MD2M[0.50],mixture,MDM,MD2M,0.5,582.38045,1303060.1403726926,0.04560518728177656,0.33298006762892574,0.07090409360739375,4.0
OPT,1,DimethylCarbonate[0.50]&EthylBenzene[0.50],mixture,DimethylCarbonate,EthylBenzene,0.5,587.06,5251655.207910245,0.12385819985896176,2.526443049908179,0.08242787314626893,5.1
OPT,2,DimethylCarbonate[0.21]&CycloHexane[0.79],mixture,DimethylCarbonate,CycloHexane,0.21,542.0701716840131,4214190.237098014,0.11968998327032565,4.708223289966408,0.28013727483192236,6.1
OPT,3,DimethylCarbonate[0.50]&CycloHexane[0.50],mixture,DimethylCarbonate,CycloHexane,0.5,535.8730556796875,4305561.62364996,0.12687231019551504,4.9442408549948125,0.22004881594694256,7.1
OPT,4,DimethylCarbonate[0.07]&1-Butene[0.93],mixture,DimethylCarbonate,1-Butene,0.07,428.9297,3964507.4129262604,0.10953758790708419,25.002373735982147,2.895101215904574,8.1
OPT,5,CycloHexane[0.41]&1-Butene[0.59],mixture,CycloHexane,1-Butene,0.41000000000000003,490.00486881194934,5025976.592178878,0.09105509542948093,12.482387035782175,1.8425097544158893,9.1
OPT,6,R1234ze(Z)[0.50]&1-Butene[0.50],mixture,R1234ze(Z),1-Butene,0.5,421.28,4194188.494583026,0.09330085656261881,22.773753644611734,3.8496523521396018,10.1
OPT,7,1-Butene[0.50]&CycloHexane[0.50],mixture,1-Butene,CycloHexane,0.5,502.2420334140625,5010109.404522124,0.07653973308249527,9.503466394194303,1.9335982545087853,11.1
OPT,8,R1234ze(Z)[0.18]&DimethylCarbonate[0.82],mixture,R1234ze(Z),DimethylCarbonate,0.18,532.9286,4694218.784278074,0.09420408857229658,5.469285616172138,0.5100216181050462,12.1
OPT,9,R1234ze(Z)[0.19]&DimethylCarbonate[0.81],mixture,R1234ze(Z),DimethylCarbonate,0.19,531.5913,4681822.1555660525,0.09702094224863224,6.086306034093646,0.5238375162138618,13.1
OPT,10,R1234ze(Z)[0.01]&Dichloroethane[0.99],mixture,R1234ze(Z),Dichloroethane,0.01,560.2167000000001,5215057.6020086305,0.12965091735879755,4.256596115761534,0.1865217125604583,14.5
OPT,11,Dichloroethane[0.42]&R1234ze(Z)[0.58],mixture,Dichloroethane,R1234ze(Z),0.42,481.3686,4344425.434329252,0.06012995185307462,11.801820127794379,3.829101060167991,15.5
OPT,12,CycloHexane[0.21]&DimethylCarbonate[0.79],mixture,CycloHexane,DimethylCarbonate,0.21,545.0207249207527,4659540.61401615,0.07864191665283717,4.424538416965255,0.8282096848325554,16.5
OPT,13,1-Butene[0.21]&Dichloroethane[0.79],mixture,1-Butene,Dichloroethane,0.21,531.7149000000001,5309676.599400461,0.07401849460684351,7.039143750156432,1.375893438605157,17.5
OPT,14,Dichloroethane[0.37]&CycloHexane[0.63],mixture,Dichloroethane,CycloHexane,0.37,556.5600000000001,4864801.901597139,0.12652914514828492,4.534101561137845,0.23104138909731753,18.5
OPT,15,CycloHexane[0.50]&EthylBenzene[0.50],mixture,CycloHexane,EthylBenzene,0.5,587.9260032578907,4057728.468246624,0.12043708443151607,2.2597328165336594,0.0814526155057664,19.5
