phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,DiethylEther[0.31]&SulfurDioxide[0.69],mixture,DiethylEther,SulfurDioxide,0.31,457.94288750065266,6876251.789434739,0.1222833626872256,33.696597644373696,2.666052247131074,5.2
INIT,2,n-Undecane[0.12]&DimethylCarbonate[0.88],mixture,n-Undecane,DimethylCarbonate,0.12,566.816,4812377.672121763,0.10598476758278423,2.2875815560134094,0.13853755663874096,6.2
INIT,3,DiethylEther[0.38]&IsoButene[0.62],mixture,DiethylEther,IsoButene,0.38,436.5618,4139129.102638378,0.08447380522921522,18.274359912114672,3.7251381851579417,7.2
INIT,4,DimethylCarbonate[0.33]&n-Decane[0.67],mixture,DimethylCarbonate,n-Decane,0.33,600.8517753198884,3308698.070711018,-0.05,-1.0,-1.0,8.2
INIT,5,MD3M[0.49]&DimethylCarbonate[0.51],mixture,MD3M,DimethylCarbonate,0.49,592.2604,1521708.17587473,0.014381098439734539,0.18436308573666524,0.10682722335709179,9.2
OPT,6,Water[0.50]&SulfurDioxide[0.50],mixture,Water,SulfurDioxide,0.5,524.686105,21957736.94758653,0.03615532013961592,9.654162813577946,5.052609951038766,10.2
OPT,7,SulfurDioxide[0.50]&R113[0.50],mixture,SulfurDioxide,R113,0.5,458.92499999999995,6250441.758096291,0.10475768011804786,27.696387696471408,3.3148867676279345,11.2
OPT,8,Water[0.50]&Isopentane[0.50],mixture,Water,Isopentane,0.5,553.02530625,7297297.627804562,0.10928329226786428,7.1730478929851795,0.5388059003239394,12.2
OPT,9,n-Pentane[0.49]&Water[0.51],mixture,n-Pentane,Water,0.49,540.2918662695799,16212726.10282182,-0.05,-1.0,-1.0,13.2
OPT,10,SulfurDioxide[0.50]&n-Pentane[0.50],mixture,SulfurDioxide,n-Pentane,0.5,450.16999999999996,7238233.848896465,0.07486157393572407,31.606898100103827,7.56778245792368,14.2
OPT,11,p-Xylene[0.49]&Water[0.51],mixture,p-Xylene,Water,0.49,631.94128,14726779.37266469,-0.05,-1.0,-1.0,15.2
OPT,12,Benzene[0.49]&EthyleneOxide[0.51],mixture,Benzene,EthyleneOxide,0.49,514.539,5666319.629671868,0.11481174725798089,10.26149597639438,0.9114429562559678,16.2
OPT,13,EthylBenzene[0.50]&Ethanol[0.50],mixture,EthylBenzene,Ethanol,0.5,563.1867680781249,6059039.958234172,0.1077802260839469,1.9624633963621578,0.10649246235594224,17.2
OPT,14,Methanol[0.49]&n-Dodecane[0.51],mixture,Methanol,n-Dodecane,0.49,673.3587998096032,9388666.945517182,-0.05,-1.0,-1.0,18.2
OPT,15,m-Xylene[0.49]&Ethanol[0.51],mixture,m-Xylene,Ethanol,0.49,564.7782,6360419.237708642,0.08307135010159167,2.4856009057133908,0.30148998139392674,19.2
OPT,16,HeavyWater[0.49]&Acetone[0.51],mixture,HeavyWater,Acetone,0.49,574.61603,11300138.090349952,0.13108131070182907,7.445872890820139,0.3273806905778913,20.2
