phase,order,mixture,mode,comp1,comp2,x1,Tc_K,Pc_Pa,eta,p_evap_bar,p_cond_bar,cost
INIT,1,MethylOleate[0.50]&Acetone[0.50],mixture,MethylOleate,Acetone,0.5,645.05,2249744.558486452,-0.05,-1.0,-1.0,4.9
INIT,2,MD4M[0.49]&R11[0.51],mixture,MD4M,R11,0.49,560.3341,1284309.8343613255,-0.05,-1.0,-1.0,5.9
INIT,3,Toluene[0.47]&n-Butane[0.53],mixture,Toluene,n-Butane,0.47000000000000003,528.0680779309969,5427508.973223875,0.05644305361079187,4.854550928468035,1.4272185210564705,6.9
INIT,4,trans-2-Butene[0.43]&R11[0.57],mixture,trans-2-Butene,R11,0.43,452.835,4334333.9492810955,0.12026512085276128,21.611493748536493,1.9879732917153727,7.9
INIT,5,trans-2-Butene[0.39]&MethylOleate[0.61],mixture,trans-2-Butene,MethylOleate,0.39,644.1779,1506831.1674055904,-0.05,-1.0,-1.0,8.9
OPT,6,DimethylCarbonate[0.49]&R21[0.51],mixture,DimethylCarbonate,R21,0.49,503.1848,5071121.673771869,0.09742454934751239,9.437887593863183,1.1081362112225661,9.9
OPT,7,R40[0.49]&R113[0.51],mixture,R40,R113,0.49,452.46410000000003,4622858.130465796,0.09965741228886618,23.386427502353353,3.1542887443699845,10.9
OPT,8,IsoButene[0.49]&R1233zd(E)[0.51],mixture,IsoButene,R1233zd(E),0.49,429.06010000000003,4141347.031302774,0.10230399807175349,22.65791414674505,2.902882667483053,11.9
OPT,9,m-Xylene[0.49]&Benzene[0.51],mixture,m-Xylene,Benzene,0.49,596.4210784943942,4465915.840623697,0.11625618059699755,2.1312084681162298,0.09713513540383377,12.9
OPT,10,Toluene[0.49]&R11[0.51],mixture,Toluene,R11,0.49,530.2236,4344341.783922599,0.057732204749672604,2.23319282158037,0.6547324904501673,13.9
OPT,11,IsoButene[0.49]&Isohexane[0.51],mixture,IsoButene,Isohexane,0.49,458.6911,3332274.969766336,0.09869924163607965,15.622075338255234,1.6434188019669946,14.9
OPT,12,Novec649[0.49]&R142b[0.51],mixture,Novec649,R142b,0.49,425.7195,2692059.2521708086,0.08125136438067165,15.274468142114973,1.9042874434082502,15.9
OPT,13,Water[0.49]&SulfurDioxide[0.51],mixture,Water,SulfurDioxide,0.49,521.2981117041447,21494122.410417747,-0.05,-1.0,-1.0,16.9
OPT,14,Toluene[0.47]&HeavyWater[0.53],mixture,Toluene,HeavyWater,0.47000000000000003,619.36141,7881224.393426427,0.10773606778804107,0.9846021439370787,0.054186948188787186,17.9
OPT,15,HeavyWater[0.50]&Water[0.50],mixture,HeavyWater,Water,0.5,646.6915453267188,21903687.063653767,0.11128967795023303,1.9679970291027293,0.09759505387676295,18.9
OPT,16,Ethanol[0.49]&HeavyWater[0.51],mixture,Ethanol,HeavyWater,0.49,580.56987,12394445.232051093,0.14216614021332327,4.523213134195771,0.0779882780424081,19.9
