order,mixture
1,MethylLinolenate[0.28]&IsoButene[0.72]
2,DiethylEther[0.50]&n-Pentane[0.50]
3,1-Butene[0.42]&IsoButene[0.58]
4,DiethylEther[0.33]&MethylLinoleate[0.67]
5,R365MFC[0.50]&n-Pentane[0.50]
6,p-Xylene[0.49]&n-Pentane[0.51]
7,Isohexane[0.50]&R114[0.50]
8,EthylBenzene[0.50]&Cyclopentane[0.50]
9,R113[0.48]&IsoButene[0.52]
10,1-Butene[0.50]&R114[0.50]
11,Cyclopentane[0.49]&R113[0.51]
12,R11[0.50]&n-Pentane[0.50]
13,R113[0.49]&Acetone[0.51]
14,DimethylCarbonate[0.47]&IsoButene[0.53]
15,Cyclopentane[0.50]&Benzene[0.50]
16,Cyclopentane[0.50]&Ethanol[0.50]
