order,mixture
1,MM[0.48]&R245fa[0.52]
2,MethylLinoleate[0.50]&R123[0.50]
3,p-Xylene[0.48]&n-Butane[0.52]
4,Novec649[0.49]&Isopentane[0.51]
5,DiethylEther[0.50]&D6[0.50]
6,Benzene[0.49]&n-Hexane[0.51]
7,R245ca[0.49]&n-Nonane[0.51]
8,EthylBenzene[0.49]&o-Xylene[0.51]
9,Water[0.48]&n-Nonane[0.52]
10,Benzene[0.48]&R21[0.52]
11,cis-2-Butene[0.50]&MDM[0.50]
12,R114[0.50]&1-Butene[0.50]
13,Toluene[0.49]&Dichloroethane[0.51]
14,n-Heptane[0.50]&p-Xylene[0.50]
15,o-Xylene[0.50]&MethylOleate[0.50]
16,Benzene[0.50]&o-Xylene[0.50]
17,Benzene[0.49]&Dichloroethane[0.51]
18,n-Dodecane[0.49]&Isopentane[0.51]
